Crew Mission Name,Name,EVA Number,Start Date,End Date,Duration,Moonwalk,Stand Up Only,Deep Space,Traveler launch date,Launching spacecraft,Destination
ISS Expedition 4,Daniel Bursch,211,25-Jan-02,25-Jan-02,05:59:00,FALSE,FALSE,FALSE,05-12-2001,"STS-108, Endeavour",ISS
ISS Expedition 4,Carl E. Walz,212,20-Feb-02,20-Feb-02,05:47:00,FALSE,FALSE,FALSE,05-12-2001,"STS-108, Endeavour",ISS
ISS Expedition 4,Daniel Bursch,212,20-Feb-02,20-Feb-02,05:47:00,FALSE,FALSE,FALSE,05-12-2001,"STS-108, Endeavour",ISS
STS-109,John Grunsfeld,213,04-Mar-02,04-Mar-02,07:01:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-109,Richard Linnehan,213,04-Mar-02,04-Mar-02,07:01:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-109,James H. Newman,214,05-Mar-02,05-Mar-02,07:16:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-109,Michael Massimino,214,05-Mar-02,05-Mar-02,07:16:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-109,John Grunsfeld,215,06-Mar-02,06-Mar-02,06:48:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-109,Richard Linnehan,215,06-Mar-02,06-Mar-02,06:48:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-109,James H. Newman,216,07-Mar-02,07-Mar-02,07:30:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-109,Michael Massimino,216,07-Mar-02,07-Mar-02,07:30:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-109,John Grunsfeld,217,08-Mar-02,08-Mar-02,07:20:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-109,Richard Linnehan,217,08-Mar-02,08-Mar-02,07:20:00,FALSE,FALSE,FALSE,01-03-2002,"STS-109, Columbia",Earth Orbit
STS-110,Steven Smith,218,11-Apr-02,11-Apr-02,07:48:00,FALSE,FALSE,FALSE,08-04-2002,"STS-110, Atlantis",ISS
STS-110,Rex Walheim,218,11-Apr-02,11-Apr-02,07:48:00,FALSE,FALSE,FALSE,08-04-2002,"STS-110, Atlantis",ISS
STS-110,Jerry L. Ross,219,13-Apr-02,13-Apr-02,07:30:00,FALSE,FALSE,FALSE,08-04-2002,"STS-110, Atlantis",ISS
STS-110,Lee Morin,219,13-Apr-02,13-Apr-02,07:30:00,FALSE,FALSE,FALSE,08-04-2002,"STS-110, Atlantis",ISS
